,productAsin,country,date,isVerified,ratingScore,reviewTitle,variantAsin,Color,Size
2815,B09G9D8KRQ,India,29-04-2024,True,5,amazing phone with super fast delivery,B09G9HD6PD,Midnight,128 GB
2816,B09G9D8KRQ,India,14-05-2024,True,5,Awesome,B09G9HD6PD,Midnight,128 GB
2817,B09G9D8KRQ,India,12-03-2024,True,4,Overall,B09G9HD6PD,Midnight,128 GB
2818,B09G9D8KRQ,India,19-05-2024,True,5,Got this for 48k i feel its worthy,B09G9HD6PD,Midnight,128 GB
2819,B09G9D8KRQ,India,17-08-2022,True,5,Excellent expensive phone/camera,B09G93H3BR,Blue,256 GB
2820,B09G9D8KRQ,India,13-11-2022,True,5,Excellent product,B09G93H3BR,Blue,256 GB
2821,B09G9D8KRQ,India,30-12-2022,True,5,I am happy,B09G93H3BR,Blue,256 GB
2822,B09G9D8KRQ,India,29-10-2022,True,5,Excellent,B09G93H3BR,Blue,256 GB
2823,B09G9D8KRQ,India,18-12-2021,True,1,Bakwas bakwas bakwas,B09G99CW2N,,
2824,B09G9D8KRQ,India,03-02-2023,False,2,Seems normal and terrific low battery,B09G99CW2N,,
2825,B09G9D8KRQ,India,13-11-2023,False,1,Delivery Issue,B09G99CW2N,,
2826,B09G9D8KRQ,India,13-11-2023,False,1,Color Not as,B09G99CW2N,,
2827,B09G9D8KRQ,India,20-06-2023,False,1,Battery is nat work,B09G99CW2N,,
2828,B09G9D8KRQ,India,19-01-2023,False,1,Increased cost,B09G99CW2N,,
2829,B09G9D8KRQ,India,07-10-2023,False,1,Do not buy,B09G99CW2N,,
2830,B09G9D8KRQ,India,03-05-2022,False,1,Batter life is very less compared to andriod,B09G99CW2N,,
2831,B09G9D8KRQ,India,05-06-2022,False,1,Don't buy this phone.,B09G99CW2N,,
2832,B09G9D8KRQ,India,03-02-2022,False,1,A bad experience,B09G99CW2N,,
2833,B09G9D8KRQ,India,13-07-2024,True,1,This item was defective im not satisfied for this device,B09G9BL5CP,Blue,128 GB
2834,B09G9D8KRQ,India,28-10-2023,True,2,Battery issue,B09G9BL5CP,Blue,128 GB
2835,B09G9D8KRQ,India,29-07-2022,True,3,Battery is draining like anything,B09G9BL5CP,Blue,128 GB
2836,B09G9D8KRQ,India,09-05-2022,True,3,Apple is apple,B09G9BL5CP,Blue,128 GB
2837,B09G9D8KRQ,India,16-10-2023,True,2,Exchange Impossible,B09G9BL5CP,Blue,128 GB
2838,B09G9D8KRQ,India,29-11-2023,True,2,iOS is bad,B09G9BL5CP,Blue,128 GB
2839,B09G9D8KRQ,India,09-05-2024,True,1,screen blink,B09G9BL5CP,Blue,128 GB
2840,B09G9D8KRQ,India,08-06-2022,True,2,Highly Overrated phone,B09G9BL5CP,Blue,128 GB
2841,B09G9D8KRQ,India,13-06-2024,True,1,Iphone,B09G9BL5CP,Blue,128 GB
2842,B09G9D8KRQ,India,12-10-2023,True,2,Box barcode is stretched,B09G9BL5CP,Blue,128 GB
2843,B09G9D8KRQ,India,24-03-2024,True,3,Battery drain fast,B09G9D8KRQ,Starlight,128 GB
2844,B09G9D8KRQ,India,01-01-2024,True,3,battery kam chalti hai,B09G9D8KRQ,Starlight,128 GB
2845,B09G9D8KRQ,India,29-08-2024,True,1,Don't buy iPhone from Amazon,B09G9D8KRQ,Starlight,128 GB
2846,B09G9D8KRQ,India,28-08-2024,True,1,Not up to the mark,B09G9D8KRQ,Starlight,128 GB
2847,B09G9D8KRQ,India,15-10-2023,True,3,Disposing,B09G9D8KRQ,Starlight,128 GB
2848,B09G9D8KRQ,India,25-05-2024,True,2,Battery prob,B09G9D8KRQ,Starlight,128 GB
2849,B09G9D8KRQ,India,27-08-2024,True,1,Hang issues,B09G9D8KRQ,Starlight,128 GB
2850,B09G9D8KRQ,India,05-01-2024,True,3,Good,B09G9D8KRQ,Starlight,128 GB
2851,B09G9D8KRQ,India,14-10-2023,True,3,Item. It's good but. Miner screen scratched,B09G9D8KRQ,Starlight,128 GB
2852,B09G9D8KRQ,India,13-10-2023,True,3,Phone is Good but Packaging was Poor,B09G9D8KRQ,Starlight,128 GB
2853,B09G9D8KRQ,India,27-02-2023,True,1,Received defective item,B09G99CW2N,,
